case_name,stage,sensors,method,A_true_mm,A_id_mm,amp_error_mm,amp_error_percent,phi_id_rad,dx_id_mm,rmse_mv,weighted_rmse_mv,true_dg6_mm,true_mu6_mm_per_mm,cal_mu6_mm_per_mm,true_dmu6_mm_per_mm,fit_dg6_mm,fit_dmu6_mm_per_mm,noise_std_mv,point_count_full,point_count_fit,sg_template_rmse_mean_mv,notes
stage0_clean,stage0_baseline,S13,superGaussian,0.371092574690059,0.367556529117288,-0.00353604557277071,-0.952874245927464,0.389448228364455,-0.00357526072952808,16.9831001007638,17.0342539280866,0,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"No gap, no initial tilt, no noise."
stage0_clean,stage0_baseline,S13,fixed_template,0.371092574690059,0.371092574690059,0,0,0.4,0,0,0,0,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"No gap, no initial tilt, no noise."
stage0_clean,stage0_baseline,S13,gap_fixed_tilt,0.371092574690059,0.371092574690059,0,0,0.4,0,0,0,0,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"No gap, no initial tilt, no noise."
stage0_clean,stage0_baseline,S136,superGaussian,0.371092574690059,0.366013784469147,-0.00507879022091201,-1.36860464673913,0.387740005078412,-0.0042638499731599,15.3817768540395,15.593229658169,0,0,0,0,0,0,0,18731,900,15.4166073546374,"No gap, no initial tilt, no noise."
stage0_clean,stage0_baseline,S136,fixed_template,0.371092574690059,0.371092574690059,0,0,0.4,0,0,0,0,0,0,0,0,0,0,18731,900,15.4166073546374,"No gap, no initial tilt, no noise."
stage0_clean,stage0_baseline,S136,gap_fixed_tilt,0.371092574690059,0.371092574690059,0,0,0.4,0,0,0,0,0,0,0,0,0,0,18731,900,15.4166073546374,"No gap, no initial tilt, no noise."
stage0_noise_only,stage0_baseline,S13,superGaussian,0.371092574690059,0.366015075319514,-0.00507749937054419,-1.36825679543305,0.3847736437583,-0.00522575206983146,21.2107445040019,21.269117574789,0,0,0,0,NaN,NaN,12.9124767066443,12453,900,16.6918713984285,"No gap, no initial tilt, with noise."
stage0_noise_only,stage0_baseline,S13,fixed_template,0.371092574690059,0.369543497725497,-0.00154907696456191,-0.417436798851533,0.395502797606821,-0.00162915816003425,12.9675554594263,12.9831619454359,0,0,0,0,NaN,NaN,12.9124767066443,12453,900,16.6918713984285,"No gap, no initial tilt, with noise."
stage0_noise_only,stage0_baseline,S13,gap_fixed_tilt,0.371092574690059,0.369272381411781,-0.00182019327827715,-0.490495742146659,0.394180578455249,-0.00200922290347948,12.974042987463,12.9895706992921,0,0,0,0,NaN,NaN,12.9124767066443,12453,900,16.6918713984285,"No gap, no initial tilt, with noise."
stage0_noise_only,stage0_baseline,S136,superGaussian,0.371092574690059,0.365362047584831,-0.00573052710522709,-1.54423114232703,0.387922003036548,-0.00452959661866567,19.9246677669123,20.110992475698,0,0,0,0,0,0,12.9124767066443,18731,900,15.4166073546374,"No gap, no initial tilt, with noise."
stage0_noise_only,stage0_baseline,S136,fixed_template,0.371092574690059,0.370429005674334,-0.000663569015724896,-0.1788149537293,0.400192320809158,-0.00027260191603081,12.8937390282033,12.9082884053643,0,0,0,0,0,0,12.9124767066443,18731,900,15.4166073546374,"No gap, no initial tilt, with noise."
stage0_noise_only,stage0_baseline,S136,gap_fixed_tilt,0.371092574690059,0.370468702722345,-0.000623871967713796,-0.168117610069364,0.400345895669209,-0.000232463156892396,12.8936838960416,12.9081169713614,0,0,0,0,1.10486237484177e-05,0,12.9124767066443,18731,900,15.4166073546374,"No gap, no initial tilt, with noise."
qa_zero_amp_clean,qa,S13,superGaussian,0,2.56808920000039e-14,2.56808920000039e-14,NaN,4.13917142512155e-05,-0.000156665965278685,16.7644233764253,16.6321635350512,0,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"Zero vibration check."
qa_zero_amp_clean,qa,S13,fixed_template,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"Zero vibration check."
qa_zero_amp_clean,qa,S13,gap_fixed_tilt,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"Zero vibration check."
qa_zero_amp_clean,qa,S136,superGaussian,0,4.3149474435818e-15,4.3149474435818e-15,NaN,-0.000100619790461831,0.000213780224586758,15.4490343014362,15.3753575261425,0,0,0,0,0,0,0,18731,900,15.4166073546374,"Zero vibration check."
qa_zero_amp_clean,qa,S136,fixed_template,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,18731,900,15.4166073546374,"Zero vibration check."
qa_zero_amp_clean,qa,S136,gap_fixed_tilt,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,18731,900,15.4166073546374,"Zero vibration check."
stage1_gap6_clean,stage1_gap_change,S13,superGaussian,0.371092574690059,0.367556529117288,-0.00353604557277071,-0.952874245927464,0.389448228364455,-0.00357526072952808,16.9831001007638,17.0342539280866,0.05,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"CH6 gap change only, no initial tilt, no noise."
stage1_gap6_clean,stage1_gap_change,S13,fixed_template,0.371092574690059,0.371092574690059,0,0,0.4,0,0,0,0.05,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"CH6 gap change only, no initial tilt, no noise."
stage1_gap6_clean,stage1_gap_change,S13,gap_fixed_tilt,0.371092574690059,0.371092574690059,0,0,0.4,0,0,0,0.05,0,0,0,NaN,NaN,0,12453,900,16.6918713984285,"CH6 gap change only, no initial tilt, no noise."
stage1_gap6_clean,stage1_gap_change,S136,superGaussian,0.371092574690059,0.324184656263196,-0.046907918426863,-12.640489631473,0.209994892120569,-0.049758069754951,73.4225965268555,68.8286265106161,0.05,0,0,0,0,0,0,18731,900,15.4166073546374,"CH6 gap change only, no initial tilt, no noise."
stage1_gap6_clean,stage1_gap_change,S136,fixed_template,0.371092574690059,0.328254263388226,-0.0428383113018326,-11.5438341329281,0.225333177272113,-0.0454667617819101,72.375872873845,67.2950214857565,0.05,0,0,0,0,0,0,18731,900,15.4166073546374,"CH6 gap change only, no initial tilt, no noise."
stage1_gap6_clean,stage1_gap_change,S136,gap_fixed_tilt,0.371092574690059,0.373214603043987,0.00212202835392877,0.571832609612607,0.405579928698502,0.00223545749528669,0.965333255227234,1.02026223329116,0.05,0,0,0,0.0502724041847573,0,0,18731,900,15.4166073546374,"CH6 gap change only, no initial tilt, no noise."
stage1_gap6_noise,stage1_gap_change,S13,superGaussian,0.371092574690059,0.366015075319514,-0.00507749937054419,-1.36825679543305,0.3847736437583,-0.00522575206983146,21.2107445040019,21.269117574789,0.05,0,0,0,NaN,NaN,12.9124767066443,12453,900,16.6918713984285,"CH6 gap change only, no initial tilt, with noise."
stage1_gap6_noise,stage1_gap_change,S13,fixed_template,0.371092574690059,0.369543497725497,-0.00154907696456191,-0.417436798851533,0.395502797606821,-0.00162915816003425,12.9675554594263,12.9831619454359,0.05,0,0,0,NaN,NaN,12.9124767066443,12453,900,16.6918713984285,"CH6 gap change only, no initial tilt, with noise."
stage1_gap6_noise,stage1_gap_change,S13,gap_fixed_tilt,0.371092574690059,0.369272381411781,-0.00182019327827715,-0.490495742146659,0.394180578455249,-0.00200922290347948,12.974042987463,12.9895706992921,0.05,0,0,0,NaN,NaN,12.9124767066443,12453,900,16.6918713984285,"CH6 gap change only, no initial tilt, with noise."
stage1_gap6_noise,stage1_gap_change,S136,superGaussian,0.371092574690059,0.323525058811546,-0.0475675158785124,-12.8182343498092,0.209817122464014,-0.0500201437014916,74.5866118048304,70.0108163736196,0.05,0,0,0,0,0,12.9124767066443,18731,900,15.4166073546374,"CH6 gap change only, no initial tilt, with noise."
stage1_gap6_noise,stage1_gap_change,S136,fixed_template,0.371092574690059,0.327623325453683,-0.0434692492363754,-11.7138558411419,0.225334616266479,-0.0456990065949155,73.5961990591222,68.5428382611602,0.05,0,0,0,0,0,12.9124767066443,18731,900,15.4166073546374,"CH6 gap change only, no initial tilt, with noise."
