case_name,sensors,method,seed_policy,dmu_limit_mm_per_mm,A_true_mm,A_id_mm,amp_error_mm,amp_error_percent,A_minus_gap_only_warm_start_mm,phi_id_rad,d0_id_mm,weighted_rmse_v,true_dg6_mm,true_dmu6_mm_per_mm,fit_dg6_mm,fit_dmu6_mm_per_mm,fit_dmu_limit_cfg
dg_clean,S136,gap_only,independent,NaN,0.371092574690059,0.373258074842956,0.00216550015289713,0.583547152541594,NaN,0.401207420171023,0.000783901074370038,0.000868823292088117,0.05,0,0.0510463708509587,0,0.08
dg_clean,S136,gap_tilt,independent,0,0.371092574690059,0.352941884617619,-0.0181506900724397,-4.89114881579061,NaN,0.420317061706756,0.00653070280623027,0.00809564109712252,0.05,0,0.0245064826255453,-1.73939021821387e-06,0
dg_clean,S136,gap_tilt,gap_only_zero_dmu_start,0,0.371092574690059,0.371161369692916,6.87950028573359e-05,0.0185385015894738,-0.00209670515003979,0.400102236759659,9.04805541246873e-05,5.25512216085816e-05,0.05,0,0.0499542793514496,-1.21594739340087e-06,0
dg_clean,S136,gap_tilt,truth_start,0,0.371092574690059,0.371092574690059,0,0,NaN,0.4,0,0,0.05,0,0.05,0,0
dg_clean,S136,gap_tilt,independent,0.001,0.371092574690059,0.342858410457662,-0.0282341642323971,-7.60838835322388,NaN,0.403412324089799,-0.00469202324909125,0.0184202516323964,0.05,0,0.0139818406619446,-0.00106286723541535,0.001
dg_clean,S136,gap_tilt,gap_only_zero_dmu_start,0.001,0.371092574690059,0.371269049423705,0.000176474733646403,0.04755544726105,-0.00198902541925072,0.403329294814236,0.00114519005903117,4.98537194725508e-05,0.05,0,0.0489371053933485,-0.000274908801770256,0.001
dg_clean,S136,gap_tilt,truth_start,0.001,0.371092574690059,0.371092574690059,0,0,NaN,0.4,0,0,0.05,0,0.05,0,0.001
dg_clean,S136,gap_tilt,independent,0.003,0.371092574690059,0.355533987222702,-0.0155585874673566,-4.1926431646743,NaN,0.4158794585,0.00754385249773912,0.0108977953758489,0.05,0,0.0234587401724603,0.0030085908255396,0.003
dg_clean,S136,gap_tilt,gap_only_zero_dmu_start,0.003,0.371092574690059,0.371269049423705,0.000176474733646403,0.04755544726105,-0.00198902541925072,0.403329294814236,0.00114519005903117,4.98537194725508e-05,0.05,0,0.0489371053933485,-0.000274908801770256,0.003
dg_clean,S136,gap_tilt,truth_start,0.003,0.371092574690059,0.371092574690059,0,0,NaN,0.4,0,0,0.05,0,0.05,0,0.003
