case_name,sensors,method,n,mean_A_id_mm,mean_amp_error_mm,mean_amp_error_percent,mean_rmse_v,mean_fit_dg6_mm,mean_fit_dmu6_mm_per_mm
clean,S13,fixed,1,0.371092475364035,-9.93260231285653e-08,-2.67658341618729e-05,6.90224977344495e-08,NaN,NaN
clean,S13,gap_only,1,0.371092527959378,-4.67306804363687e-08,-1.25927285059257e-05,3.4925822926807e-08,NaN,NaN
clean,S13,gap_tilt,1,0.371098613524236,6.03883417715778e-06,0.00162731204799813,2.05971708826014e-06,NaN,NaN
clean,S136,fixed,1,0.371092709731241,1.3504118240304e-07,3.6390160195425e-05,6.54590672314761e-08,0,0
clean,S136,gap_only,1,0.371347574793774,0.000255000103715652,0.0687160350563823,0.000168625427096567,0.000468303230242767,0
clean,S136,gap_tilt,1,0.370695582851231,-0.000396991838827521,-0.106979192229619,0.00036994815438178,0.00137630103076272,0.000495868623190146
noise_only,S13,fixed,1,0.371280881898116,0.000188307208057459,0.050743997832545,0.0128177885890721,NaN,NaN
noise_only,S13,gap_only,1,0.371294070640752,0.000201495950693242,0.0542980281568647,0.0128178394102206,NaN,NaN
noise_only,S13,gap_tilt,1,0.371272502411776,0.000179927721717765,0.0484859396251847,0.0128178419958068,NaN,NaN
noise_only,S136,fixed,1,0.370958587006128,-0.000133987683930414,-0.0361062691815708,0.0126399203063082,0,0
noise_only,S136,gap_only,1,0.37144658777286,0.000354013082801252,0.0953975118195045,0.0126462945328537,0.000727506579875858,0
noise_only,S136,gap_tilt,1,0.370799655613099,-0.00029291907695933,-0.0789342328404119,0.0126600069630425,-0.000268013431302301,5.45445599790031e-05
ch6_static_dg,S13,fixed,1,0.371280881898116,0.000188307208057459,0.050743997832545,0.0128177885890721,NaN,NaN
ch6_static_dg,S13,gap_only,1,0.371294070640752,0.000201495950693242,0.0542980281568647,0.0128178394102206,NaN,NaN
ch6_static_dg,S13,gap_tilt,1,0.371272502411776,0.000179927721717765,0.0484859396251847,0.0128178419958068,NaN,NaN
ch6_static_dg,S136,fixed,1,0.359583515909656,-0.0115090587804029,-3.10139829394739,0.0284327505549866,0,0
ch6_static_dg,S136,gap_only,1,0.36989040960079,-0.00120216508926835,-0.323952881642111,0.0126500688466834,0.0497972166894889,0
ch6_static_dg,S136,gap_tilt,1,0.354925563684469,-0.0161670110055891,-4.35659781635135,0.0141734515257812,0.0222005303174681,-0.00453625054053601
ch6_tilt_dmu,S13,fixed,1,0.371280881898116,0.000188307208057459,0.050743997832545,0.0128177885890721,NaN,NaN
ch6_tilt_dmu,S13,gap_only,1,0.371294070640752,0.000201495950693242,0.0542980281568647,0.0128178394102206,NaN,NaN
ch6_tilt_dmu,S13,gap_tilt,1,0.371272502411776,0.000179927721717765,0.0484859396251847,0.0128178419958068,NaN,NaN
ch6_tilt_dmu,S136,fixed,1,0.442160832784355,0.0710682580942964,19.1510859934758,0.040715563502346,0,0
ch6_tilt_dmu,S136,gap_only,1,0.416517314395306,0.0454247397052478,12.2408107311732,0.035459914497188,-0.0736288366868986,0
ch6_tilt_dmu,S136,gap_tilt,1,0.382421060219247,0.0113284855291889,3.05273840055965,0.0134609758829765,-0.00185988944433622,0.0327004865434025
ch6_dg_dmu,S13,fixed,1,0.371280881898116,0.000188307208057459,0.050743997832545,0.0128177885890721,NaN,NaN
ch6_dg_dmu,S13,gap_only,1,0.371294070640752,0.000201495950693242,0.0542980281568647,0.0128178394102206,NaN,NaN
ch6_dg_dmu,S13,gap_tilt,1,0.371272502411776,0.000179927721717765,0.0484859396251847,0.0128178419958068,NaN,NaN
ch6_dg_dmu,S136,fixed,1,0.426042710463666,0.054950135773607,14.8076624328854,0.0341427847826244,0,0
ch6_dg_dmu,S136,gap_only,1,0.398033678602718,0.0269411039126597,7.2599415213741,0.0315842679968286,-0.0388387649867343,0
ch6_dg_dmu,S136,gap_tilt,1,0.341991818038061,-0.0291007566519976,-7.84191294485019,0.017297482188574,-0.00645088733909152,0.0284850912917394
